Título,Descripción
Feijóo convoca el congreso del PP en julio en Madrid,El líder popular decide adelantar un cónclave en el que la oposición relanzará su alternativa de gobierno&nbsp;
El PSOE ve el congreso del PP como oportunidad para renovar el “liderazgo fallido” de Feijóo,"Sánchez evita en la reunión de Ferraz toda alusión a sus antiguos mensajes con Ábalos, y por ahora descarta denunciar la filtración: “No queremos darle más pábulo”, advierte la portavoz de la ejecutiva, Esther Peña"
Salvador Illa abre la puerta a reunirse con Puigdemont: “Buscaremos un momento para vernos”,El presidente de la Generalitat prevé presentar una propuesta sobre El Prat “idealmente antes del verano”
Puigdemont liga el apoyo al Pacte per la Llengua a la oficialidad del catalán en la UE,El líder de Junts pide esperar también la sentencia del Tribunal Constitucional sobre el 25% de las horas lectivas en castellano
EE.UU. y China acuerdan una gran reducción en los aranceles por 90 días,Las tarifas quedarán en el 30% para China y el 10% para EE.UU.
Zelenski ofrece un cara a cara a Putin,El presidente de Ucrania insiste en exigir a Rusia un alto el fuego a partir de este lunes
León XIV mantiene una conversación telefónica con el presidente de Ucrania,El Papa inquiere a Volodimir Zelenski por la paz y el regreso de los niños deportados por Rusia
Martínez Lacambra a la Fundació Cellex y el Liceu encara el fin de las servidumbres,"El caso judicial por irregularidades en la Fundació Cellex avanza, mientras que el Consorcio del Gran Teatre del Liceu plantea revisar los acuerdos con la Sociedad de propietarios"
Lutero en Santa Maria del Popolo,"León XIV pertenece a la orden agustina, escenario de la gran escisión en el cristianismo"
León XIV reclama una paz justa para Ucrania y exige el alto el fuego en Gaza,El nuevo pontífice lanza su llamamiento a los líderes desde el balcón de San Pedro
La gran resistencia,
El ascenso deplorable del catolicismo MAGA,
El Barça pone vista para sentencia LaLiga masculina mientras remata la femenina,"<a href=""https://www.lavanguardia.com/deportes/fc-barcelona/20250511/10669877/barca-madrid-flick-liga.html"">El Barça se levanta para rematar al Madrid y tiene la Liga a tiro tras un partido para la historia</a><br />"
De Messi a Lamine,El renacer del Barça en una icónica foto
