Título,Descripción
Merz promete convertir la Bundeswehr en el ejército más fuerte de Europa,"El canciller alemán confirma que Alemania ""seguirá apoyando enérgicamente a la Ucrania agredida"" y agradece a Trump sus esfuerzos por conseguir una tregua en la guerra&nbsp;<a href=""https://www.elmundo.es/internacional/2025/05/14/68249281fc6c8302178b4587.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
La jueza de la dana cita como testigo a un comandante de la UME y amplía el foco a la tardía reunión de la emergencia,"Califica de ""auténtico bulo"" que la presa de Forata contribuyese al desbordamiento del barranco del Poyo&nbsp;<a href=""https://www.elmundo.es/comunidad-valenciana/2025/05/14/6824882a21efa09a2d8b4571.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Consumo investigará posibles irregularidades en la venta de entradas en los conciertos de Bad Bunny en España,"El ministerio ha recibido denuncias de clientes por posibles cargos ilícitos en la compra online de los tickets&nbsp;<a href=""https://www.elmundo.es/cultura/musica/2025/05/14/68248d22e4d4d8606a8b4584.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Los números del Valencia que colocan a Corberán a la altura de Benítez, Marcelino o Cúper","El equipo, penúltimo al final de la primera vuelta, se ha transformado en 18 partidos para jugarse sus opciones europeas ante Alavés, Athletic y Betis con la cuarta mejor racha en las cinco grandes ligas&nbsp;<a href=""https://www.elmundo.es/deportes/futbol/2025/05/13/68236db5e9cf4ace068b45aa.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Diez millones, coche blindado y avión privado: así se cerró el fichaje de Ancelotti por la selección brasileña","La Confederación Brasileña de Fútbol retomó los contactos con el italiano tras el 0-4 en Liga contra el Barça, en octubre, cuando ya se sabía sentenciado. La operación se firmó horas antes del clásico del pasado domingo&nbsp;<a href=""https://www.elmundo.es/deportes/futbol/2025/05/13/68232f1f21efa0342b8b457e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
Alcaraz resiste contra el viento y ya está en semifinales del Masters 1000 de Roma,"Vence a Jack Draper en cuartos de final por un doble 6-4 pese al vendaval y la táctica monótona de su rival&nbsp;<a href=""https://www.elmundo.es/deportes/tenis/2025/05/14/6824b01ee4d4d8290e8b45aa.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El futuro campus tecnológico de Madrid se ubicará en la Ciudad Deportiva de Valdebebas: 850.000 m2 y se espera una inversión extranjera de 8.500 millones,"La Comunidad, el Ayuntamiento de la capital y el Real Madrid impulsan un distrito de innovación para que universidades y empresas desarrollen proyectos&nbsp;<a href=""https://www.elmundo.es/madrid/2025/05/14/68246d7efdddff9d3e8b456f.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
El delegado del Gobierno en Madrid niega ante el juez Peinado relación con la contratación de la asesora de Begoña Gómez,"Francisco Martín recurre su imputación ante la Audiencia Provincial y responde únicamente a las preguntas de su abogado&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/14/68248966fdddff44508b4596.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El Tribunal Supremo obliga a elevar caudales ecológicos del Tajo de manera inmediata y García-Page interpreta que ""el trasvase es historia""","La sentencia hace referencial caudal protegido en el tramo central del río, pero los regantes murcianos estudian el pronunciamiento por si conlleva la reducción de las aportaciones incluso antes de 2027&nbsp;<a href=""https://www.elmundo.es/comunidad-valenciana/2025/05/14/68246f3121efa0342b8b45c8.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
La junta de Prisa se salda con intercambio de reproches y el portazo de un Oughourlian reforzado a la venta de medios o Santillana,"Los Polanco reprochan la última ampliación de capital y votan en contra de Oughourlian&nbsp;<a href=""https://www.elmundo.es/economia/empresas/2025/05/14/6824746a21efa0b31f8b458e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
¿Conversación privada?,"Robles aceptó el dicterio del jefe con ejemplar mansedumbre en una prueba de lo que Cayetana Álvarez de Toledo llamaba el cuarto rasgo del retrato robot del enchufado sanchista: ""No tener dignidad""&nbsp;<a href=""https://www.elmundo.es/espana/2025/05/14/6823656521efa04a428b458c.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Andrea Levy: ""¿Experta en relaciones tóxicas? A veces pienso que yo era lo único que tenían en común mis parejas""","Subió al primer equipo del Partido Popular hace diez años con el objetivo de renovar las caras en Génova. La exposición mediática le pasó factura. Fue diagnosticada de fibromialgia. Lo cuenta en 'La utilidad de todo este dolor'&nbsp;<a href=""https://www.elmundo.es/papel/lideres/2025/05/14/68232c0bfdddffa12a8b458e.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El Papa León XIV recibe en audiencia privada al número uno mundial del tenis, Jannik Sinner: ""¿Quieres jugar un poco?""","Hace dos días un periodista propuso al Pontífice, gran aficionado al tenis, un partido benéfico, asegurándole que llevaría ""a Agassi"". León XIV respondió: ""Buena idea, siempre y cuando no traigas a Sinner""&nbsp;<a href=""https://www.elmundo.es/deportes/tenis/2025/05/14/682496f6fc6c837f388b4587.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
La catedrática de Cambridge que desmonta la leyenda del Cid Campeador: ¿héroe de la Reconquista o mercenario a sueldo del Islam?,"Rodrigo Díaz de Vivar luchó al servicio de reyes cristianos en la Edad Media, pero también asistió a gobernantes islámicos. La historiadora Nora Berend intenta distinguir realidad de leyenda en su nuevo libro, un arriesgado estudio sobre El Cid: ""El descontento siempre es un caldo de cultivo para los mitos""&nbsp;<a href=""https://www.elmundo.es/la-lectura/2025/05/14/681d59ee21efa0f0448b456f.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"El jugador del Espanyol denunciado por violación asegura que mantuvo relaciones sexuales ""consentidas"" con la chica en el baño de la discoteca Opium","La chica declaró la semana pasada y se ratificó en sus acusaciones&nbsp;<a href=""https://www.elmundo.es/deportes/2025/05/14/682482dbe9cf4aa3358b457d.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Ni el bronceado es saludable ni se deja de absorber vitamina D por llevar protector solar, según expertas dermatólogas","Un 45% de la población de España, Italia y Portugal sigue asociando el bronceado con belleza, según el Observatorio Heliocare by Cantabria Labs 2025.&nbsp;<a href=""https://www.elmundo.es/yodona/vida-saludable/2025/05/14/6821edd7fdddff57258b4590.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
"Estas son las mejores pizzerías de España, según la guía 50 Top Pizza","La lista internacional y referente del sector publica sus locales favoritos en nuestro país, con Cataluña y Madrid a la cabeza. Estos 31 establecimientos, junto a las mejores cadenas de pizza artesanal, participarán en la segunda edición de Pizza Week, que se celebrará del 26 de mayo al 2 de junio en varias ciudades españolas&nbsp;<a href=""https://www.elmundo.es/metropoli/gastronomia/2025/05/14/682348ec21efa08a0d8b4582.html"">Leer</a><img alt="""" src=""http://secure-uk.imrworldwide.com/cgi-bin/m?cid=es-widgetueditorial&amp;cg=rss-elmundo&amp;ci=es-widgetueditorial&amp;si=http://www.elmundo.es/rss/index.xml"" />"
