Título,Descripción
La Asamblea pide al Gobierno que excluya a frutas y hortalizas frescas de la prohibición del uso de envases,"La agenda semanal se alteró para celebrar el Pleno este lunes, por el debate sobre el Trasvase Tajo-Segura el martes en el Congreso"
Un hombre mata a otro a puñaladas en el barrio de Los Barreros en Cartagena,"La Policía Nacional detiene al presunto autor del crimen, que pasará a disposición judicial en las próximas horas"
La Región afianza su papel en la industria de defensa nacional,La Comunidad y Telefónica firman un convenio para la implementación conjunta de líneas de capacitación y creación de empleo en el ámbito de la industria de la seguridad y la defensa
El PSOE niega trascendencia a los mensajes de Sánchez a Ábalos: «Mi chat de primos tiene más interés»,Los socialistas descartan de momento interponer denuncia por la filtración pero alegan que debería abrirse una investigación de oficio y acusan al PP de intentar sacar tajada de las conversaciones privadas del jefe del Ejecutivo y el exministro de Transportes
Feijóo precipita el congreso del PP el 5 y 6 de julio por la «cuenta atrás» de la legislatura,El líder popular zanja el debate interno y prepara al partido de cara a un posible adelanto electoral
Cenas temáticas dedicadas a personajes ilustres de Murcia para conmemorar el 1.200 aniversario de la ciudad,"La primera cita será este lunes 12 de mayo, a las 21.00 horas en el Real Casino de Murcia, y rendirá homenaje a Francisco e Inés Salzillo"
"Hugo Morán responde en el Senado al PP sobre la regeneración de Portmán, en directo",El senador Francisco Bernabé pregunta sobre el estado del proyecto para la había y cuáles «son las intenciones del Gobierno en relación con el mismo»
HoyTú recibe 60.000 euros para desarrollar un portal digital de reservas en restaurantes y bares,"La ayuda, concedida por el Gobierno regional, busca impulsar la digitalización del sector hostelero"
Investigan a un joven por romperle el férmur a un perro de una patada en Mula,El animal sufrió diversas lesiones de las que tuvo que ser atendido por un veterinario
Jorge Martín pone fecha a su salida de Aprilia,"El campeón del mundo, actualmente de baja por lesión, tiene una cláusula que le liberaría de su contrato con la marca italiana a finales de 2025"
ASA Grupo abrirá en diciembre el primer hotel de 4 estrellas de Molina,El complejo ofrecerá 39 habitaciones y 20 plazas de aparcamiento en el centro comercial Vega Plaza; las obras finalizarán en agosto
La Justicia autoriza el plan de reestructuración de la molinense Azor Ambiental y el control de la propiedad por la catalana Griñó,"El Juzgado de lo Mercantil, número 2 de Murcia aprueba permitir que la compañía industrial de Lérida junto a los bancos acreedores tomen el control del grupo de la familia Gil Buendía a cambio de capitalizar parte de la deuda"
La jueza de la dana rechaza que declare como testigo la periodista que comió con Mazón en El Ventorro,La instructora considera que no se puede desviar el foco de la investigación hacia la actuación del presidente de la Generalitat
Dos accidentes provocan retenciones en la A-7 a la altura de Totana y Alhama de Murcia,En una solo está habilitado el carril derecho de la vía
Qué le ha faltado al Real Murcia para el primer puesto y por qué el Cartagena puede sufrir en Primera RFEF,"La tertulia 'A dos bandas' analiza el bajo nivel del equipo de Fran Fernández a las puertas del 'playoff' y el último capítulo de la crisis del Efesé, con unos retrasos en las nóminas inusuales en La Liga"
Un nuevo libro revelará todos los secretos del engaño a Diana de Gales para obtener su entrevista más polémica,"'Dianarama', de Andy Webb, verá la luz el próximo noviembre, cuando se cumplen 30 años de las controvertidas declaraciones de Lady Di"
Un pederasta que ofrecía en redes a una niña para violarla en grupo se enfrenta a 107 años de prisión,"La Fiscalía acusa a un hombre de agredir sexualmente a una menor de 12 años, con la que grababa pornografía infantil. La niña vivía bajo la custodia de las autoridades de Cataluña en un centro de menores"
La salud de Makoke pone en riesgo su estancia en 'Supervivientes',La andaluza ha tenido que abandonar la prueba de recompensa por prescripción médica
Mainat cuenta cómo su mujer se convirtió en una persona «diabólica» capaz de asesinarlo,Las imágenes de las cámaras de seguridad recogieron las catorce veces que Ángela Dobrowolski entró y salió de la habitación la noche de autos
El Supremo investigará los vínculos del ministerio de Reyes Maroto con la trama de Aldama y Ábalos,El juez interrogará el 21 de mayo al exdirector de gabinete de la extitular de Industria por sus reuniones para supuestamente agilizar los permisos de operadores de hidrocarburos a la red corrupta
El juez vuelve a citar el 21 de mayo a la exmiss supuestamente enchufada por Ábalos,"Claudia Montes, que no compareció el pasado martes en el Supremo, está llamada a declarar por su contratación supuestamente irregular en Renfe"
Más allá del diagnóstico: así se combate la fibromialgia en la Unidad del Dolor de Quirónsalud Murcia,Nuevas terapias y enfoques individualizados permiten a muchos pacientes recuperar autonomía y funcionalidad pese a no existir una cura definitiva
"Cae un grupo criminal dedicado al robo de casas en la Región, Alicante y Albacete","La banda utilizaba el método del 'bumping' para entrar en las viviendas, una técnica que les permitía abrir los hogares sin romper las cerraduras"
La Noche de los Museos se celebra en Lorca con un centenar de actividades en más de 30 espacios monumentales y urbanos,Se espera superar las 15.000 visitas de la edición anterior
