Título,Descripción
A prisión el jefe del 'chalé' de La Paz por liderar el secuestro de un joven en Murcia,"La víctima aseguró que trabajaba para el traficante y que, tras gastarse un dinero en un salón de juegos, este le amenazó con cortarle el dedo con un machete"
Feijóo espeta a Sánchez «váyase» y el presidente cuestiona su liderazgo en el PP,El líder de la oposición recurre a los wasaps del jefe del Ejecutivo con Ábalos y le insta a «ahorrarse el bochorno» mientras el socialista le acusa de entretenerse con «casquería» y augura otro fracaso en 2027
Cannes homenajea a De Niro: «Trump está intentando salvar a América y salvar su culo»,Los discursos feministas y en contra de Donald Trump marcan el acto inaugural del certamen en el que entregan la Palma de Oro Honorífica a la estrella estadounidense
El resurgir de las ferreterías tras el apagón,El reciente corte masivo de electricidad pone en valor estos negocios de toda la vida: «La gente le ha visto las orejas al lobo y la venta no ha parado por si vuelve a pasar»
Los alumnos murcianos siguen siendo los que más repiten curso en España,"La tasa regional disminuye con respecto a años anteriores, pero se mantiene por encima de la media"
Cuatro caras para una venta en el Efesé,"Felipe Moreno, Fernando Carreño, Andrés López y Belmonte tienen la llave para ponerse de acuerdo y desatascar el futuro del club cuanto antes"
"Jesús Cruz Villalón: «La jornada laboral de 37,5 horas va a ser un desafío para la negociación»","El jurista andaluz resalta que en la Región la subida del SMI «afecta a sectores de mucha influencia, como agricultura, comercio y hostelería»"
Los vecinos del litoral sur del Mar Menor piden más mantenimiento en playas y calles,"Los Nietos reclama una reforma en el paseo, Los Urrutias otro balneario y Mar de Cristal más podas en zonas verdes y reposición de farolas"
La granizada provocará más de 60 millones de pérdidas en la agricultura,Los productores señalan que el pedrisco arrasó 22.200 hectáreas de cultivos y cuantifican en miles los empleos destruidos
"El Real Murcia, con un ojo en el Ibiza y otro en el Nástic","Si el equipo grana logra acabar segundo, podría cruzarse en el 'playoff' con el equipo catalán, que hace once meses se quedó sin ascenso en un final dramático"
«Hemos constatado que hay mucho miedo a la palabra feminismo»,El festival de literatura Demoleer celebra este sábado su segunda edición con Belén Gopegui y Gabriela Wiener en la Biblioteca Regional
Nuevo retiro lector en caravana en la playa de Parazuelos por el centenario de 'La señora Dalloway' de Virginia Woolf,"Tendrá lugar los días 30 y 31 de mayo y 1 de junio en la bahía de Mazarrón, y asistirán como ponentes Itziar Hernández Rodilla, traductora de Virginia Woolf; Ana Flecha Marco, escritora, traductora y editora, y Cristina Consuegra, comisaria, creativa y crítica cultural; LA VERDAD sortea entre sus suscriptores cinco pases dobles para acceder a la jornada del sábado 31"
"El Ayuntamiento de Murcia usará 1,5 millones de proyectos no ejecutados en 2024","La reordenación de las partidas de Deportes de este ejercicio impulsa el arreglo del campo de fútbol del Barnés, con unos 300.000 euros"
Ferrovial triplica su resultado operativo hasta los 496 millones,"La compañía, que repartirá un dividendo flexible de 228 millones de euros el 25 de junio, no ofrece su dato neto al tratarse del balance trimestral y solo hacerlo en el semestral"
"Enrique Nieto, pintor con verdad",
Destituido el director de la Escuela de Industriales de la UPCT para «facilitar las elecciones»,El rector defiende que «no es un cese al uso» porque Franco Chumillas ya había acabado su mandato en febrero
Satse teme otro verano de cierre de camas hospitalarias en Orihuela,El sindicato de enfermería sospecha que se puede producir una situación parecida al año pasado «para ahorrar en personal»
